#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     TITLE                           PSP FIELDS Fluxgate Magnetometer (MAG) data
#     PROJECT                         PSP
#     DISCIPLINE                      Solar Physics>Heliospheric Physics
#                                     Space Physics>Interplanetary Studies
#     SOURCE_NAME                     PSP_FLD>Parker Solar Probe FIELDS
#     DESCRIPTOR                      MAG_RTN_1min>Fluxgate Magnetometer data in RTN coordinates
#     DATA_TYPE                       L2>Level 2 Data
#     DATA_VERSION                    01
#     TEXT                            PSP FIELDS Fluxgate Magnetometer data. Time resolution varies with instrument                         
#                                      mode, ranging from 2.3-292.9 samples/sec, corresponding to 2-256 samples per                          
#                                      0.874 seconds (0.874 = 2^25 / 38.4 MHz, see reference [2]).                                           
#                                     The Magnetometer has 4 ranges - +/-1024, +/-4096, +/-16,384, +/-65,536 nT, selected                   
#                                      by the ranging algorithm, based on the ambient magnetic field. Precision is                           
#                                      +/- 15 bits, based on the 16-bit ADC.                                                                 
#                                     References:
#                                     1. Fox, N.J., Velli, M.C., Bale, S.D. et al. Space Sci Rev (2016) 204: 7. https://doi.org/10.1007/s112
#                                     2. Bale, S.D., Goetz, K., Harvey, P.R. et al. Space Sci Rev (2016) 204: 49.                           
#                                      https://doi.org/10.1007/s11214-016-0244-5                                                             
#     MODS                            Version 1
#     LOGICAL_FILE_ID                 psp_fld_l2_mag_RTN_1min_20190220_v01
#     LOGICAL_SOURCE                  psp_fld_l2_mag_RTN_1min
#     LOGICAL_SOURCE_DESCRIPTION      PSP FIELDS 1 minute cadence Fluxgate Magnetometer (MAG) data in RTN coordinates
#     PI_NAME                         Stuart D. Bale (bale@berkeley.edu)
#     PI_AFFILIATION                  UC Berkeley Space Sciences Laboratory
#     INSTRUMENT_TYPE                 Magnetic Fields (space)
#     MISSION_GROUP                   Parker Solar Probe (PSP)
#     PARENTS                         spp_fld_l1_mago_hk_20190220_v00.cdf
#                                     spp_fld_l1_mago_hk_20190221_v00.cdf, spp_fld_l1_mago_survey_20190220_v00.cdf
#                                     spp_fld_l1_mago_survey_20190221_v00.cdf
#     MAG_OFFSET_CALIBRATION_FILES    psp_mago_zeros_range0_2019_v03.dat
#     DEPENDENCIES                    None
#     FILE_NAMING_CONVENTION          source_datatype_descriptor_yyyyMMdd
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/ParkerSolarProbe/FIELDS/MAG/Level2/RTN/PT1M
#     GENERATED_BY                    PSP FIELDS SOC
#     RULES_OF_USE                    PSP/FIELDS Rules of the Road available at http://fields.ssl.berkeley.edu/rules/
#     GENERATION_DATE                 Tue Nov  5 21:37:36 2019
#     HTTP_LINK                       http://fields.ssl.berkeley.edu/data/
#     LINK_TEXT                       PSP/FIELDS SOC
#     LINK_TITLE                      Data Link
#     TIME_RESOLUTION                 1 minute
#     SVN_VERSION                     25679
#     CDAWEB_PARENTS                  psp_fld_l2_mag_rtn_1min_00000000_v01
#                                     psp_fld_l2_mag_rtn_1min_20210926_v02, psp_fld_l2_mag_rtn_1min_20210927_v02
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time in TT2000 for 1 minute cadence MAG waveform data
#  2. Magnetic field in RTN coordinates (1 minute cadence)
#
#  
# Key Parameter and Survey data (labels K0,K1,K2) are preliminary browse data.
# Generated by CDAWeb on: Tue Apr  9 14:40:37 2024
EPOCH                                               B_R                         B_T                         B_N
26-09-2021 01:01:30.000.000                    -3.89846                    -2.40302                    -5.16190
26-09-2021 01:02:30.000.000                    -3.75400                    -2.63406                    -4.98346
26-09-2021 01:03:30.000.000                    -3.92522                    -2.68771                    -4.72848
26-09-2021 01:04:30.000.000                    -4.17377                    -2.67470                    -4.59013
26-09-2021 01:05:30.000.000                    -4.14020                    -2.32672                    -4.77123
26-09-2021 01:06:30.000.000                    -4.20352                    -2.29949                    -4.72392
26-09-2021 01:07:30.000.000                    -4.11438                    -2.22604                    -4.63420
26-09-2021 01:08:30.000.000                    -4.29003                    -1.69187                    -4.66315
26-09-2021 01:09:30.000.000                    -4.22509                    -1.89386                    -4.57009
26-09-2021 01:10:30.000.000                    -4.12946                    -1.79160                    -4.67893
26-09-2021 01:11:30.000.000                    -4.29130                    -1.73792                    -4.56693
26-09-2021 01:12:30.000.000                    -4.24979                    -1.53650                    -4.67703
26-09-2021 01:13:30.000.000                    -4.05619                    -1.34434                    -4.68207
26-09-2021 01:14:30.000.000                    -4.18422                   -0.756782                    -5.11050
26-09-2021 01:15:30.000.000                    -4.26787                   -0.855607                    -5.26529
26-09-2021 01:16:30.000.000                    -4.02018                   -0.859790                    -5.09426
26-09-2021 01:17:30.000.000                    -4.05576                    -1.02698                    -4.90880
26-09-2021 01:18:30.000.000                    -4.12834                    -1.33866                    -4.83895
26-09-2021 01:19:30.000.000                    -4.32130                   -0.634130                    -4.90224
26-09-2021 01:20:30.000.000                    -4.67642                   0.0320512                    -4.78238
26-09-2021 01:21:30.000.000                    -4.19340                   -0.735225                    -4.96484
26-09-2021 01:22:30.000.000                    -4.27779                   -0.934323                    -4.93438
26-09-2021 01:23:30.000.000                    -4.32173                   -0.887590                    -5.07493
26-09-2021 01:24:30.000.000                    -4.23586                   -0.663457                    -5.23289
26-09-2021 01:25:30.000.000                    -4.18841                   -0.775727                    -4.72626
26-09-2021 01:26:30.000.000                    -4.04771                   -0.912003                    -4.48031
26-09-2021 01:27:30.000.000                    -3.98343                    -1.00819                    -4.56981
26-09-2021 01:28:30.000.000                    -4.03594                    -1.27503                    -4.56541
26-09-2021 01:29:30.000.000                    -4.02892                    -1.74301                    -4.53439
26-09-2021 01:30:30.000.000                    -3.99186                    -1.82747                    -4.60597
26-09-2021 01:31:30.000.000                    -3.41040                    -2.12195                    -4.49888
26-09-2021 01:32:30.000.000                    -3.08739                    -2.69881                    -4.24164
26-09-2021 01:33:30.000.000                    -3.08551                    -3.24932                    -3.98356
26-09-2021 01:34:30.000.000                    -2.78014                    -3.92970                    -3.65867
26-09-2021 01:35:30.000.000                    -2.30221                    -4.63076                    -2.66891
26-09-2021 01:36:30.000.000                    -3.65672                    -2.70592                    -4.29422
26-09-2021 01:37:30.000.000                    -2.57908                    -3.44482                    -3.28391
26-09-2021 01:38:30.000.000                    -2.67256                    -2.80905                    -3.70399
26-09-2021 01:39:30.000.000                    -2.92225                    -2.30149                    -3.86900
26-09-2021 01:40:30.000.000                    -3.42787                    -1.86008                    -3.89339
26-09-2021 01:41:30.000.000                    -3.26173                    -1.37480                    -4.25405
26-09-2021 01:42:30.000.000                    -3.35581                   -0.567052                    -4.51952
26-09-2021 01:43:30.000.000                    -3.65122                  -0.0138752                    -4.61498
26-09-2021 01:44:30.000.000                    -3.39345                   -0.387991                    -4.34818
26-09-2021 01:45:30.000.000                    -3.55582                   -0.944886                    -4.43162
26-09-2021 01:46:30.000.000                    -3.88450                   -0.980415                    -4.57381
26-09-2021 01:47:30.000.000                    -3.96330                   -0.919870                    -4.99042
26-09-2021 01:48:30.000.000                    -4.07956                    -1.04408                    -4.85190
26-09-2021 01:49:30.000.000                    -4.01309                   -0.866035                    -4.92465
26-09-2021 01:50:30.000.000                    -4.03717                   -0.689700                    -4.95239
26-09-2021 01:51:30.000.000                    -3.63696                    -1.44223                    -4.78666
26-09-2021 01:52:30.000.000                    -3.70223                    -1.41560                    -4.87980
26-09-2021 01:53:30.000.000                    -3.81574                    -1.24639                    -5.04231
26-09-2021 01:54:30.000.000                    -4.07939                   -0.973045                    -4.89154
26-09-2021 01:55:30.000.000                    -4.00621                   -0.917545                    -4.88234
26-09-2021 01:56:30.000.000                    -4.15679                   -0.727978                    -4.82922
26-09-2021 01:57:30.000.000                    -4.20871                   -0.704718                    -4.73353
26-09-2021 01:58:30.000.000                    -4.36209                   -0.603931                    -4.57377
26-09-2021 01:59:30.000.000                    -4.35944                   -0.723217                    -4.53301
26-09-2021 02:00:30.000.000                    -4.31117                   -0.797307                    -4.39141
26-09-2021 02:01:30.000.000                    -4.28044                    -1.24269                    -4.20176
26-09-2021 02:02:30.000.000                    -4.18921                    -1.36783                    -4.14787
26-09-2021 02:03:30.000.000                    -4.12158                    -1.06233                    -4.31176
26-09-2021 02:04:30.000.000                    -4.07157                   -0.925919                    -4.40161
26-09-2021 02:05:30.000.000                    -4.28300                    -1.27569                    -4.22410
26-09-2021 02:06:30.000.000                    -4.24628                    -1.07944                    -4.34139
26-09-2021 02:07:30.000.000                    -3.83961                   -0.535422                    -4.02000
26-09-2021 02:08:30.000.000                    -3.64125                   0.0860350                    -3.83851
26-09-2021 02:09:30.000.000                    -3.41382                    -2.11860                    -2.16316
26-09-2021 02:10:30.000.000                    -3.40270                    -2.53496                    -1.70139
26-09-2021 02:11:30.000.000                    -2.98096                    -1.45873                    -3.08647
26-09-2021 02:12:30.000.000                    -3.51606                    -1.47609                    -2.84751
26-09-2021 02:13:30.000.000                    -2.95747                   -0.989354                    -3.43942
26-09-2021 02:14:30.000.000                    -3.20432                    -1.11083                    -3.64973
26-09-2021 02:15:30.000.000                    -3.11925                   -0.818682                    -3.76813
26-09-2021 02:16:30.000.000                    -1.94747                    0.326608                    -3.89769
26-09-2021 02:17:30.000.000                   -0.940386                    0.810658                    -3.56124
26-09-2021 02:18:30.000.000                   -0.611045                    0.322190                    -3.00902
26-09-2021 02:19:30.000.000                   -0.694295                    0.244941                    -3.76492
26-09-2021 02:20:30.000.000                    0.347888                    0.466929                    -3.75631
26-09-2021 02:21:30.000.000                   -0.406186                    0.457915                    -3.17647
26-09-2021 02:22:30.000.000                   -0.394637                    0.128662                    -3.04831
26-09-2021 02:23:30.000.000                   -0.129188                   0.0145579                    -3.35254
26-09-2021 02:24:30.000.000                    0.745727                    0.210399                    -3.11034
26-09-2021 02:25:30.000.000                     1.30622                     1.01674                    -2.89153
26-09-2021 02:26:30.000.000                     1.18943                     1.22289                    -2.82084
26-09-2021 02:27:30.000.000                     1.27355                    0.979519                    -1.73632
26-09-2021 02:28:30.000.000                     1.17013                     1.31929                    -2.32554
26-09-2021 02:29:30.000.000                     1.08211                     1.70663                    -2.31475
26-09-2021 02:30:30.000.000                     1.92434                     1.24214                    -2.36987
26-09-2021 02:31:30.000.000                     1.82137                     1.35839                    -1.68796
26-09-2021 02:32:30.000.000                     2.37332                     1.95425                    -2.25576
26-09-2021 02:33:30.000.000                     2.10044                     1.68270                    -2.75034
26-09-2021 02:34:30.000.000                     1.13850                     1.57339                    -2.90690
26-09-2021 02:35:30.000.000                    0.898502                     1.36124                    -3.41098
26-09-2021 02:36:30.000.000                    0.417449                     1.23654                    -3.51899
26-09-2021 02:37:30.000.000                    -2.32363                    0.333350                    -3.81001
26-09-2021 02:38:30.000.000                    -3.72823                    0.325457                    -4.20271
26-09-2021 02:39:30.000.000                    -3.72750                    0.146680                    -4.25674
26-09-2021 02:40:30.000.000                    -2.32502                  -0.0652976                    -4.69436
26-09-2021 02:41:30.000.000                    -2.40551                   -0.510876                    -4.44086
26-09-2021 02:42:30.000.000                    -2.31626                   -0.268409                    -4.40340
26-09-2021 02:43:30.000.000                    -2.67487                   -0.535935                    -4.29646
26-09-2021 02:44:30.000.000                    -2.34581                   -0.372829                    -4.17571
26-09-2021 02:45:30.000.000                    -2.71673                   -0.199993                    -4.17349
26-09-2021 02:46:30.000.000                    -2.11793                  -0.0762313                    -4.39082
26-09-2021 02:47:30.000.000                    -2.54162                   -0.600354                    -4.42205
26-09-2021 02:48:30.000.000                    -2.92138                    -1.02513                    -4.07982
26-09-2021 02:49:30.000.000                    -2.55012                   -0.367829                    -3.70588
26-09-2021 02:50:30.000.000                    -2.11299                  -0.0481866                    -3.59417
26-09-2021 02:51:30.000.000                    -1.44773                    0.207302                    -3.61554
26-09-2021 02:52:30.000.000                    -1.45262                   -0.802700                    -2.98451
26-09-2021 02:53:30.000.000                   -0.836820                     1.40687                    -2.72163
26-09-2021 02:54:30.000.000                    -1.45010                     2.02138                    -2.48803
26-09-2021 02:55:30.000.000                    -1.87596                     1.01076                    -2.77302
26-09-2021 02:56:30.000.000                    -2.55028                    0.427801                    -2.53601
26-09-2021 02:57:30.000.000                    -2.06143                    0.847115                    -2.78150
26-09-2021 02:58:30.000.000                    -2.07696                    0.223147                    -3.31967
26-09-2021 02:59:30.000.000                    -1.84214                   -0.167304                    -2.92149
26-09-2021 03:00:30.000.000                   -0.790921                   -0.184805                    -3.05552
26-09-2021 03:01:30.000.000                   -0.593314                   0.0433076                    -3.26600
26-09-2021 03:02:30.000.000                   -0.440704                   -0.398832                    -3.21420
26-09-2021 03:03:30.000.000                   -0.153384                   0.0303275                    -2.82552
26-09-2021 03:04:30.000.000                    0.254868                    0.324855                    -2.79979
26-09-2021 03:05:30.000.000                    0.253867                    0.551458                    -3.61142
26-09-2021 03:06:30.000.000                    0.237888                    0.575882                    -3.35238
26-09-2021 03:07:30.000.000                    0.249268                    0.610279                    -3.15800
26-09-2021 03:08:30.000.000                    -2.10269                    -1.43425                    -3.06922
26-09-2021 03:09:30.000.000                    -2.24896                    -1.51154                    -2.28854
26-09-2021 03:10:30.000.000                    -1.91476                    -1.95874                    -2.86415
26-09-2021 03:11:30.000.000                    -1.19361                    -1.90612                    -2.95611
26-09-2021 03:12:30.000.000                   -0.452792                    -1.07868                    -3.57317
26-09-2021 03:13:30.000.000                    0.367314                   -0.209414                    -3.73153
26-09-2021 03:14:30.000.000                    0.972062                    0.475628                    -3.20726
26-09-2021 03:15:30.000.000                     1.62508                     1.03338                    -2.43175
26-09-2021 03:16:30.000.000                     1.85931                     1.21122                    -1.87053
26-09-2021 03:17:30.000.000                     2.27944                     1.63523                   -0.895611
26-09-2021 03:18:30.000.000                     2.60821                     1.41936                    -1.32231
26-09-2021 03:19:30.000.000                     2.86976                     1.29303                    -1.46556
26-09-2021 03:20:30.000.000                     3.13784                     1.00981                   -0.863746
26-09-2021 03:21:30.000.000                     3.32165                     1.50941                    -1.22575
26-09-2021 03:22:30.000.000                     3.15747                     1.68949                    -1.57903
26-09-2021 03:23:30.000.000                     3.25676                     1.43820                    -2.25842
26-09-2021 03:24:30.000.000                     2.42435                     1.27232                    -2.83629
26-09-2021 03:25:30.000.000                     2.43916                     1.52368                    -2.84554
26-09-2021 03:26:30.000.000                     2.33062                     1.53673                    -3.19275
26-09-2021 03:27:30.000.000                     2.29575                     1.66922                    -3.29677
26-09-2021 03:28:30.000.000                     1.35616                     1.27197                    -3.76300
26-09-2021 03:29:30.000.000                   -0.388185                    0.964834                    -4.54525
26-09-2021 03:30:30.000.000                   -0.251637                    0.955589                    -4.63080
26-09-2021 03:31:30.000.000                   -0.125798                    0.683797                    -4.57411
26-09-2021 03:32:30.000.000                    0.794288                    0.908485                    -4.47922
26-09-2021 03:33:30.000.000                    0.931019                    0.923937                    -4.39553
26-09-2021 03:34:30.000.000                    0.693246                    0.832700                    -4.45183
26-09-2021 03:35:30.000.000                    0.847585                    0.432808                    -4.48458
26-09-2021 03:36:30.000.000                    0.939625                    0.267255                    -4.41661
26-09-2021 03:37:30.000.000                     2.02627                   0.0901051                    -3.84638
26-09-2021 03:38:30.000.000                    0.997790                   -0.294414                    -3.63823
26-09-2021 03:39:30.000.000                    -3.35491                    -2.02780                    -3.96696
26-09-2021 03:40:30.000.000                    -3.02190                    -1.78245                    -4.17011
26-09-2021 03:41:30.000.000                    -3.72593                    -2.00184                    -3.75186
26-09-2021 03:42:30.000.000                    -3.53738                    -2.03379                    -4.02950
26-09-2021 03:43:30.000.000                    -3.39027                    -1.90190                    -4.30823
26-09-2021 03:44:30.000.000                    -3.86029                    -1.87897                    -4.24898
26-09-2021 03:45:30.000.000                    -4.73254                    -1.18745                    -3.89175
26-09-2021 03:46:30.000.000                    -4.46884                    -1.47860                    -4.21260
26-09-2021 03:47:30.000.000                    -4.90058                    -1.02207                    -3.79787
26-09-2021 03:48:30.000.000                    -4.67444                    -1.11069                    -4.00738
26-09-2021 03:49:30.000.000                    -4.66077                   -0.921785                    -4.09745
26-09-2021 03:50:30.000.000                    -4.56431                   -0.909093                    -4.28160
26-09-2021 03:51:30.000.000                    -4.61936                   -0.774306                    -4.26635
26-09-2021 03:52:30.000.000                    -4.70485                   -0.723802                    -4.18609
26-09-2021 03:53:30.000.000                    -4.81868                   -0.394069                    -3.90597
26-09-2021 03:54:30.000.000                    -3.81388                    -1.11786                    -4.34358
26-09-2021 03:55:30.000.000                    -2.45621                    -1.58080                    -4.76891
26-09-2021 03:56:30.000.000                    -2.56604                    -1.63055                    -4.62365
26-09-2021 03:57:30.000.000                    -1.63280                    -2.32884                    -4.50238
26-09-2021 03:58:30.000.000                    -1.38430                    -2.23985                    -4.58712
26-09-2021 03:59:30.000.000                    -1.42572                    -2.22411                    -4.68063
26-09-2021 04:00:30.000.000                    -1.90075                    -1.90867                    -4.72811
26-09-2021 04:01:30.000.000                    -1.72085                    -1.65450                    -4.96503
26-09-2021 04:02:30.000.000                    -1.77789                    -1.30816                    -5.09682
26-09-2021 04:03:30.000.000                    -1.68655                    -2.01766                    -5.08779
26-09-2021 04:04:30.000.000                    -2.12097                    -1.76827                    -5.03682
26-09-2021 04:05:30.000.000                    -2.48074                    -1.51591                    -5.09386
26-09-2021 04:06:30.000.000                    -2.49485                    -1.77415                    -5.45878
26-09-2021 04:07:30.000.000                    -2.24348                    -2.47366                    -4.96682
26-09-2021 04:08:30.000.000                    -2.12916                    -2.25062                    -5.38264
26-09-2021 04:09:30.000.000                    -1.82545                    -2.43831                    -5.27903
26-09-2021 04:10:30.000.000                   -0.970150                    -3.37692                    -4.88086
26-09-2021 04:11:30.000.000                    -1.35311                    -3.27314                    -4.81031
26-09-2021 04:12:30.000.000                    -1.53273                    -2.97706                    -4.71674
26-09-2021 04:13:30.000.000                  -0.0116550                    -3.59380                    -4.42928
26-09-2021 04:14:30.000.000                   0.0281811                    -3.47305                    -4.46703
26-09-2021 04:15:30.000.000                  0.00937683                    -3.73295                    -4.48885
26-09-2021 04:16:30.000.000                    0.234476                    -4.11736                    -4.11224
26-09-2021 04:17:30.000.000                  0.00451570                    -3.88771                    -4.02960
26-09-2021 04:18:30.000.000                  -0.0806540                    -3.55820                    -4.39364
26-09-2021 04:19:30.000.000                   -0.164050                    -3.78639                    -4.15104
26-09-2021 04:20:30.000.000                   -0.346299                    -3.86028                    -3.86095
26-09-2021 04:21:30.000.000                    0.254841                    -3.86232                    -3.30419
26-09-2021 04:22:30.000.000                    0.678703                    -3.53493                    -3.09000
26-09-2021 04:23:30.000.000                     1.14299                    -4.21776                    -2.74876
26-09-2021 04:24:30.000.000                     1.23658                    -4.13873                    -2.72134
26-09-2021 04:25:30.000.000                     1.22453                    -3.14097                    -3.06956
26-09-2021 04:26:30.000.000                     1.37808                    -2.99199                    -3.06747
26-09-2021 04:27:30.000.000                     1.18476                    -3.68685                    -2.43958
26-09-2021 04:28:30.000.000                     1.28781                    -3.90221                    -1.49023
26-09-2021 04:29:30.000.000                     1.52051                    -3.98842                   -0.962510
26-09-2021 04:30:30.000.000                     2.40683                    -3.42182                     1.40825
26-09-2021 04:31:30.000.000                     2.15604                    -3.03018                     1.86567
26-09-2021 04:32:30.000.000                     1.83125                    -3.24215                     1.00028
26-09-2021 04:33:30.000.000                     1.83427                    -2.69806                    0.900806
26-09-2021 04:34:30.000.000                     1.55277                    -2.80539                    0.484587
26-09-2021 04:35:30.000.000                   -0.343027                    -1.43597                    -1.94844
26-09-2021 04:36:30.000.000                    -1.86830                    0.465494                    -3.25087
